Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,              12.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,              13.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,              30.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,              67.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,             110.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,             152.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Qiagen Limited                                    ,CADPINVSM0000009784                               ,             552.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Starlab (UK) Ltd                                  ,CADPINVSM0000009749                               ,              15.9800,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Starlab (UK) Ltd                                  ,CADPINVSM0000009749                               ,              36.7100,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Starlab (UK) Ltd                                  ,CADPINVSM0000009749                               ,             195.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Starlab (UK) Ltd                                  ,CADPINVSM0000009749                               ,             447.9000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Mineralogy Facility                               ,ThermoFisher Scientific                           ,CADPINVSM0000009781                               ,              20.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Mineralogy Facility                               ,ThermoFisher Scientific                           ,CADPINVSM0000009781                               ,              40.4500,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Lab Consumables                                   ,Mineralogy Facility                               ,ThermoFisher Scientific                           ,CADPINVSM0000009781                               ,             382.1400,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Maintenance & Repair                              ,Zoology Facility                                  ,Labcold Ltd                                       ,CADPINVSM0000009768                               ,             673.4800,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Maintenance & Repair                              ,Zoology Facility                                  ,Labcold Ltd                                       ,CADPINVSM0000009769                               ,             641.3400,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - General Running Costs                        ,Zoology Facility                                  ,Scientific Laboratory Supplies Ltd                ,CADPINVSM0000009747                               ,             480.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - General Running Costs                        ,Zoology Facility                                  ,Scientific Laboratory Supplies Ltd                ,CADPINVSM0000009747                               ,             630.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - General Running Costs                        ,Zoology Facility                                  ,Scientific Laboratory Supplies Ltd                ,CADPINVSM0000009747                               ,             750.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,Mineralogy Facility                               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000009770                               ,              49.5800,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,Mineralogy Facility                               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000009770                               ,            3008.4200,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,Sci L&A Collections&Reader Services               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000009772                               ,              53.3200,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,Sci L&A Collections&Reader Services               ,Dell Computer Corporation Ltd                     ,CADPINVSM0000009772                               ,             650.5300,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,PCS Business Systems                              ,CADPINVSM0000009773                               ,            1230.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,PCS Business Systems                              ,CADPINVSM0000009773                               ,            4629.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,MF - IT Equipment < £5k                           ,DCS ICT (Info Computer Techonology)               ,PCS Business Systems                              ,CADPINVSM0000009773                               ,            6124.8000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Finger on the Button Ltd                          ,CADPINVSM0000009738                               ,            1200.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009737                               ,            1162.4600,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009746                               ,            2904.5000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Professional Printing                             ,PEG Marketing                                     ,Newgate Concise                                   ,CADPINVSM0000009750                               ,             440.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Sci Cap Irrecoverable VAT                         ,Entomology Admin                                  ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,             741.3100,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Botany Research                                   ,Calumet Photographic Ltd                          ,CADPINVSM0000009822                               ,           23479.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,B/S - Tangible F Assets - L&B - Cons              ,Estates Buildings                                 ,B&K Fire Protection                               ,CADPINVSM0000009833                               ,           17755.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Equipment < £5k                                   ,Botany Research                                   ,VWR International Ltd                             ,CADPINVSM0000009830                               ,             569.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Exhibition Production                             ,PEG Visitor Offer Strat Non Exh Proj              ,GV Multi-media                                    ,CADPINVSM0000009812                               ,           10116.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Exhibition Production                             ,PEG Vis Serv Temporary Exhibitions                ,Morris Leslie South East Ltd                      ,CADPINVSM0000009806                               ,            1714.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Appleton Woods Ltd                                ,CADPINVSM0000009816                               ,              52.5900,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Appleton Woods Ltd                                ,CADPINVSM0000009832                               ,              44.7500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Irrecoverable VAT                                 ,Entomology Admin                                  ,Fisher Scientific UK                              ,CADPINVSM0000009821                               ,              64.6700,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Irrecoverable VAT                                 ,Botany Administration                             ,VWR International Ltd                             ,CADPINVSM0000009830                               ,              46.6400,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009816                               ,             110.2500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009816                               ,             197.1200,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009816                               ,             224.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009832                               ,              36.0500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009832                               ,             192.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Facility                                  ,Appleton Woods Ltd                                ,CADPINVSM0000009832                               ,             318.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Science Facilities - Molecular Colle              ,Fisher Scientific UK                              ,CADPINVSM0000009821                               ,             789.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Promega Ltd                                       ,CADPINVSM0000009825                               ,              53.9500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Promega Ltd                                       ,CADPINVSM0000009825                               ,              79.9500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Promega Ltd                                       ,CADPINVSM0000009825                               ,             269.7500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Lab Consumables                                   ,Zoology Research CLSD                             ,Promega Ltd                                       ,CADPINVSM0000009825                               ,             399.7500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009824                               ,              15.4900,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009824                               ,            2008.8000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009824                               ,            3236.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009824                               ,            3547.8200,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009824                               ,            6699.3200,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Graphic Works                               ,VE Production Display & Conservation              ,Displayways                                       ,CADPINVSM0000009811                               ,             594.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Market Research Costs                       ,PEG Marketing                                     ,Morris Hargreaves McIntyre                        ,CADPINVSM0000009814                               ,            8287.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,P/L - Market Research Costs                       ,PEG Marketing                                     ,Morris Hargreaves McIntyre                        ,CADPINVSM0000009815                               ,            8287.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Professional Services/Fees                        ,PEG Visitor Offer Strat Non Exh Proj              ,Atkins Ltd                                        ,CADPINVSM0000009808                               ,            1982.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Professional Services/Fees                        ,PEG Visitor Offer Strat Non Exh Proj              ,Atkins Ltd                                        ,CADPINVSM0000009809                               ,            1982.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Professional Services/Fees                        ,PEG Visitor Offer Strat Non Exh Proj              ,Casson Mann                                       ,CADPINVSM0000009807                               ,           75868.7500,                                                  
DCMS                                              ,NHM                                               ,2013-03-15 00:00:00.000,Professional Services/Fees                        ,PEG Vis Serv Temporary Exhibitions                ,Easy Tiger Creative Ltd                           ,CADPINVSM0000009810                               ,            2000.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Equipment < £5k                                   ,VE Production Display & Conservation              ,Emprise Services                                  ,CADPINVSM0000009842                               ,            2600.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Equipment < £5k                                   ,Zoology Facility                                  ,Scientific Laboratory Supplies Ltd                ,CADPINVSM0000009844                               ,             515.2000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Est - Routinemaint -Grounds Maint                 ,Estates Buildings                                 ,Emcor Facility Services Ltd                       ,CADPINVSM0000009850                               ,            3672.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Dixon Glass                                       ,CADPINVSM0000009836                               ,              62.8700,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Dixon Glass                                       ,CADPINVSM0000009837                               ,             156.1100,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Dixon Glass                                       ,CADPINVSM0000009838                               ,              57.9100,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Dixon Glass                                       ,CADPINVSM0000009839                               ,             247.9300,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Dixon Glass                                       ,CADPINVSM0000009840                               ,              80.4100,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Mineralogy Admin                                  ,FEI UK Ltd                                        ,CADPINVSM0000009861                               ,            4363.8800,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Entomology Admin                                  ,Fisher Scientific UK                              ,CADPINVSM0000009847                               ,             366.4400,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Palaeontology Admin                               ,Kaiser + Kraft Limited                            ,CADPINVSM0000009845                               ,              39.9100,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Scientific Laboratory Supplies Ltd                ,CADPINVSM0000009844                               ,              42.2300,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,Lab Consumables                                   ,Science Facilities - Molecular Colle              ,Fisher Scientific UK                              ,CADPINVSM0000009847                               ,            4471.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009841                               ,             233.2000,                                                  
DCMS                                              ,NHM                                               ,2013-03-19 00:00:00.000,P/L - Advertising Costs                           ,PEG Marketing                                     ,Total Media Limited                               ,CADPINVSM0000009841                               ,             465.0000,                                                  
